vul,weakness_name,intrusion_action,vendor,product_name
473,improper neutralization of http headers for scripting syntax,allow remote code execution.,Honeywell,win-pak
474,use of obsolete function,the affected product is vulnerable due to the usage of old jquery libraries.,Honeywell,win-pak
475,improper authorization,allows unauthenticated users to modify the configuration via the service.,B&R Industrial Automation GmbH,"automation studio, automation runtime"
476,deserialization of untrusted data,"factory talk diagnostics exposes a .net remoting endpoint via rnadiagnosticssrv.exe at tcptcp/8082, which can insecurely deserialize untrusted data.",Rockwell Automation,"factorytalk diagnostics software, a subsystem of the factorytalk services platform"
477,authentication bypass by capture-replay,the honeywell fire web server’s authentication may be bypassed by a capture-replay attack from a web browser.,Honeywell,notifier web server (nws)
478,path traversal,allows an attacker to bypass access to restricted directories.,Honeywell,notifier web server (nws)
479,cleartext transmission of sensitive information,the embedded web server software transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.,Auto-Maskin,"rp210e, dcu210e"
480,cleartext transmission of sensitive information,the device software transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.,Auto-Maskin,"rp210e, dcu210e"
481,origin validation error,the software does not properly verify that the source of data or communication is valid.,Auto-Maskin,"rp210e, dcu210e"
482,use of hard-coded credentials,"the software contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data.",Auto-Maskin,"rp210e, dcu210e"
483,weak password recovery mechanism for forgotten password,"the software contains a mechanism for users to recover or change their passwords without knowing the original password, but the mechanism is weak.",Auto-Maskin,"rp210e, dcu210e"
484,weak password requirements,"the product contains multiple weak password requirements, which makes it easier for attackers to compromise user accounts.",Auto-Maskin,"rp210e, dcu210e"
485,improper input validation,an attacker who successfully exploited this vulnerability could execute arbitrary code on the target system.,Spacelabs,"xhibit telemetry receiver (xtr), model number 96280, arkon (99999), windows 2000, windows vista, windows xp, windows 7, windows server 2003, windows server, windows server 2008, windows server"
486,protections mechanism failure,"allow the user to escape the restricted environment, resulting in access to the underlying operating system.",GE,"vivid products, logiq, voluson, versana essential, invenia abus scan station, venue"
487,improper privilege management,allows workstation users to escalate application user privileges through the modification of local configuration files.,Honeywell,inncontrol 3
488,heap-based buffer overflow,a specially crafted script could execute code on the openenterprise server.,Emerson,"openenterprise server, openenterprise"
489,improper check for unusual or exceptional conditions,cause a denial-of-service condition when truncated snmp packets on port 161/udp are received by the device.,Schneider Electric,bmxnor0200h ethernet/serial rtu module
490,improper check for unusual or exceptional conditions,cause disconnection of active connections when an unusually high number of iec 60870-5-104 packets are received by the module on port 2404/tcp.,Schneider Electric,bmxnor0200h ethernet/serial rtu module
491,improper access control,allow the execution of commands by unauthorized users when using the iec 60870-5-104 protocol.,Schneider Electric,bmxnor0200h ethernet/serial rtu module
492,improper check for unusual or exceptional conditions,,Schneider Electric,"magelis hmigto series, magelis hmisto series, magelis xbtgh series, magelis hmigtu series, magelis hmigtux series, magelis hmiscu series, magelis hmistu series, magelis xbtgt series, magelis xbtgc series, magelis hmigxo series, magelis hmigxu series"
493,data processing errors,allows remote attackers to cause a denial-of-service condition and execute arbitrary code via a crafted packet sent on port 161/udp (snmp).,Siemens,"ie/pb link pn io (including siplus net variants), scalance s602, scalance s612, scalance s623, scalance s627-2m, simatic cp 1623, simatic cp 1626, simatic cp 1628, simatic cp 343-1 advanced (including siplus net variants), simatic cp 443-1 (including siplus net variants), simatic cp 443-1 advanced (including siplus net variants), simatic cp 443-1 opc ua, tim 1531 irc (including siplus net variants)"
494,null pointer dereference,allows authenticated attacker to remotely cause a denial-of-service condition via a crafted packet sent on port 161/udp (snmp).,Siemens,"ie/pb link pn io (including siplus net variants), scalance s602, scalance s612, scalance s623, scalance s627-2m, simatic cp 1623, simatic cp 1626, simatic cp 1628, simatic cp 343-1 advanced (including siplus net variants), simatic cp 443-1 (including siplus net variants), simatic cp 443-1 advanced (including siplus net variants), simatic cp 443-1 opc ua, tim 1531 irc (including siplus net variants)"
495,improper access control,allows for remote code execution and information disclosure without authentication.,Siemens,siemens simatic cp 1543-1
496,loop with unreachable exit condition,allow an attacker to cause a denial-of-service condition by entering an infinite loop.,Siemens,siemens simatic cp 1543-1
497,protection mechanism failure,"the device does not send the x-frame-option header in the administrative web interface, which makes it vulnerable to click-jacking attacks.",Siemens,"scalance x-200 switch family (including siplus net variants), scalance x-200irt switch family (including siplus net variants), scalance x-300 switch family (including x408 and siplus net variants)"
498,insufficient logging,"allow the creation of special accounts (service users) with administrative privileges that could enable a remote authenticated attacker to perform actions that are not visible to other users of the system, such as granting persons access to a secured area.",Siemens,·siport mp
499,information disclosure,"by accessing a specific uniform resource locator on the web server, a remote attacker could be able to download a project file without prior authentication.",Siemens,ozw672 and ozw772
500,cross-site scripting,allow cross-site scripting (xss) attacks if unsuspecting users are tricked into accessing a malicious link.,Siemens,"scalance s602, scalance s612, scalance s623, scalance s627-2m"
501,uncontrolled resource consumption,cause a denial-of-service condition of the web server.,Siemens,"scalance s602, scalance s612, scalance s623, scalance s627-2m"
502,uncontrolled resource consumption,cause a denial-of-service condition of the web server.,Siemens,"scalance s602, scalance s612, scalance s623, scalance s627-2m"
503,improper input validation,cause a denial-of-service condition on the affected device.,Siemens,"siprotec 4, siprotec compact"
504,unrestricted upload of file with dangerous type,allow an attacker to upload a malicious file to the application.,Digi International,connectport lts 32 mei
505,improper neutralization of input during web page generation ('cross-site scripting'),allow an attacker to cause a denial-of-service condition.,Digi International,connectport lts 32 mei
506,insufficiently protected credentials (,allow an attacker to remotely access the system and manipulate system configurations.,AutomationDirect,c-more touch panels ea9 series
507,storing passwords in a recoverable format,the affected product uses a per-product username and password that is stored in a recoverable format.,Medtronic,"2090 carelink programmer, 29901 encore programmer"
508,improper restriction of communication channel to intended endpoints,"cause the vpn connection to terminate (through various methods and attack points) and intercept the http request, responding with malicious updates via a man-in-the-middle attack.",Medtronic,"2090 carelink programmer, 29901 encore programmer"
509,unprotected storage of credentials,allow an attacker to obtain access to the ssh private key in configuration files.,GE,"apexpro telemetry server, carescape telemetry server, clinical information center (cic), carescape telemetry server, carescape central station (cscs), carescape central station (cscs), b450, b650, b650, b850, b850"
510,improper input validation,allow an attacker to obtain arbitrary remote code execution.,GE,"apexpro telemetry server, carescape telemetry server, clinical information center (cic), carescape telemetry server, carescape central station (cscs), carescape central station (cscs), b450, b650, b650, b850, b850"
511,use of hard-coded credentials,allow an attacker to remotely execute arbitrary code.,GE,"apexpro telemetry server, carescape telemetry server, clinical information center (cic), carescape telemetry server, carescape central station (cscs), carescape central station (cscs), b450, b650, b650, b850, b850"
512,missing authentication for critical function,allow attackers to obtain remote keyboard input access without authentication over the network.,GE,"apexpro telemetry server, carescape telemetry server, clinical information center (cic), carescape telemetry server, carescape central station (cscs), carescape central station (cscs), b450, b650, b650, b850, b850"
513,unrestricted upload of file with dangerous type,allows an authenticated attacker to upload arbitrary files on the system through a crafted update package.,GE,"apexpro telemetry server, carescape telemetry server, clinical information center (cic), carescape telemetry server, carescape central station (cscs), carescape central station (cscs), b450, b650, b650, b850, b850"
514,inadequate encryption strength,allow an attacker to obtain remote code execution of devices on the network.,GE,"apexpro telemetry server, carescape telemetry server, clinical information center (cic), carescape telemetry server, carescape central station (cscs), carescape central station (cscs), b450, b650, b650, b850, b850"
515,deserialization of untrusted data,"an attacker may be able to remotely modify deserialized data without authentication using a specially crafted web request, resulting in remote code execution.",Honeywell,"hnmswvms, hnmswvmslt, maxpro nvr xe, maxpro nvr se, maxpro nvr pe, mpnvrswxx"
516,improper neutralization of special elements used in an sql command,a sql injection vulnerability exists that could give an attacker remote unauthenticated access to the web user interface with administrator-level privileges.,Honeywell,"hnmswvms, hnmswvmslt, maxpro nvr xe, maxpro nvr se, maxpro nvr pe, mpnvrswxx"
517,improper input validation,"cause the module state to change to halt-mode, resulting in a denial-of-service condition.",GE/Emerson,"ge pacsystem cpe100, ge pacsystem cpe115, ge pacsystem cpe302, ge pacsystem cpe305, ge pacsystem cpe310, ge pacsystem cru320, ge pacsystem cpe330, ge pacsystem cpe400, ge pacsystem cpl410"
518,incorrect privilege assignment,"allow an attacker with a valid session, with low privileges, to perform firmware updates and other administrative operations on connected devices.",Siemens,sinema server
519,missing authentication for critical function,an attacker could obtain sensitive information or change the device configuration.,Siemens,"scalance x-200rna switch family, scalance x switches, scalance x switches"
520,protection mechanism failure,allow an unauthenticated attacker to restore the affected device to a point where predefined application and operating system protection mechanisms are not in place.,Siemens,"sinamics perfect harmony gh180 drives, sinamics perfect harmony gh180 drives, sinamics perfect harmony gh180 drives, sinamics perfect harmony gh180 drives"
521,improper access control,"the affected product is vulnerable to an improper access control, which may return unauthorized tag data when viewing analysis data reference attributes.",OSIsoft LLC,"pi vision, pi vision 2017 r2, pi vision 2017 r2 sp1, pi vision 2019"
522,cross-site request forgery (csrf),the affected product is vulnerable to a cross-site request forgery that may be introduced on the pi vision administration site.,OSIsoft LLC,"pi vision, pi vision 2017 r2, pi vision 2017 r2 sp1, pi vision 2019"
523,improper neutralization of input during web page generation ('cross-site scripting'),allow invalid input to be introduced.,OSIsoft LLC,"pi vision, pi vision 2017 r2, pi vision 2017 r2 sp1, pi vision 2019"
524,improper restriction of operations within the bounds of a memory buffer,an attacker could exploit a buffer overflow vulnerability in the webserver.,Siemens,"en100 ethernet module for iec 61850, en100 ethernet module for modbus tcp, en100 ethernet module for dnp3, en100 ethernet module for iec104"
525,improper neutralization of input during web page generation (‘cross-site scripting’),"allow cross-site scripting (xss), causing the application to behave in unexpected ways for legitimate users.",Siemens,"en100 ethernet module for iec 61850, en100 ethernet module for modbus tcp, en100 ethernet module for dnp3, en100 ethernet module for iec104"
526,relative path traversal,"allow unauthorized attackers to obtain sensitive information about the device, including logs and configurations.",Siemens,"en100 ethernet module for iec 61850, en100 ethernet module for modbus tcp, en100 ethernet module for dnp3, en100 ethernet module for iec104"
527,insufficient resource pool,an unauthenticated attacker sending a large http request to the host where winac rtx is running may trigger a denial-of-service condition.,Siemens,simatic winac rtx (f) 2010
528,storing passwords in a recoverable format,,Siemens,"scalance x-200 switch family (including siplus net variants), scalance x-200irt switch family (including siplus net variants), scalance x-300 switch family (including siplus net variants), scalance x-414-3e"
529,expected behavior violation,an attacker could exploit this vulnerability to transmit malicious packets to systems in the mirrored network to influence their configuration and runtime behavior.,Siemens,"scalance x-200 switch family (including siplus net variants), scalance x-300 switch family (including siplus net variants), scalance xp/xc/xf-200 switch family (including siplus net variants)"
530,inadequate encryption strength,the router software uses an encryption scheme that is not strong enough for the level of protection required.,Philips,"veradius unity (718132) with wireless option, veradius unity (718132) with viewforum option, pulsera (718095) and endura (718075) with wireless option, pulsera (718095) and endura (718075) with viewforum option"
531,uncontrolled resource consumption,cause the device to enter a denial-of-service condition.,Moxa,"eds-g508e series, eds-g512e series, eds-g516e series"
532,improper neutralization of special elements used in an sql command (sql injection),allow an attacker to remotely execute arbitrary code.,Equinox,control expert
533,stack-based buffer overflow,an attacker could use a specially crafted project file to exploit and execute code under the privileges of the application.,WECON,plc editor
534,improper neutralization of input during web page generation ('cross-site scripting'),allow an attacker to execute commands on behalf of the affected user.,Reliable Controls,"mach-prowebsys, mach-prowebcom"
535,use of obsolete function,,Omron,cx-supervisor
536,stack-based buffer overflow,"the iec870ip driver for aveva’s vijeo citect, citect scada, and schneider electric’s power scada operation has a buffer overflow that could result in a server-side crash.",AVEVA and Schneider Electric,iec870ip driver
537,improper neutralization of input during web page generation ('cross-site scripting'),an attacker can inject arbitrary javascript in a specially crafted http request that may be reflected back in the http response.,GE,s2020/s2020g fast switch 61850
538,stack-based buffer overflow,allow an unauthenticated attacker to execute arbitrary code with the privileges of the user running diaganywhere server.,Advantech,diaganywhere server
539,authentication bypass by spoofing,an attacker could spoof arbitrary messages or execute commands.,Omron,"omron plc cj series, omron plc cs series"
540,authentication bypass by capture-replay,"an attacker could monitor traffic between the plc and the controller, and replay requests that could result in the opening and closing of industrial valves.",Omron,"omron plc cj series, omron plc cs series"
541,unrestricted externally accessible lock,"the software properly checks for the existence of a lock, but the lock can be externally controlled or influenced by an actor that is outside of the intended sphere of control.",Omron,"omron plc cj series, omron plc cs series"
542,improper restriction of excessive authentication attempts,"the software does not implement sufficient measures to prevent multiple failed authentication attempts within in a short time frame, making it more susceptible to brute force attacks.",Omron,"omron plc cs series, omron plc cj series, omron plc nj series"
543,inadequate encryption strength,allow weak ciphers.,Philips,"intellibridge ec40 hub, intellibridge ec80 hub"
544,improper enforcement of message integrity during transmission in a communication channel,allow the abuse of the vulnerability to access confidential data.,Siemens,"scalance w700, scalance w1700"
545,cleartext storage of sensitive information in gui,the user configuration menu in the web interface of the sinvr 3 ccs transfers user passwords in cleartext to the client (browser).,Siemens,"sinvr 3 central control server (ccs), sinvr 3 video server"
546,improper authentication,the sinvr 3 ccs contains an authentication bypass vulnerability in its xml-based communication protocol as provided by default on specific ports.,Siemens,"sinvr 3 central control server (ccs), sinvr 3 video server"
547,relative path traversal,the sinvr 3 ccs contains a directory traversal vulnerability in its xml-based communication protocol as provided by default on specific ports.,Siemens,"sinvr 3 central control server (ccs), sinvr 3 video server"
548,missing authentication for critical function,"the http service (default specific port) of the sinvr 3 video server contains an authentication bypass vulnerability, even when properly configured with enforced authentication.",Siemens,"sinvr 3 central control server (ccs), sinvr 3 video server"
549,weak cryptography for passwords,both the sinvr 3 video server and the ccs store user and device passwords by applying weak cryptography.,Siemens,"sinvr 3 central control server (ccs), sinvr 3 video server"
550,improper authentication,the sftp service (default specific port) of the sinvr 3 ccs contains an authentication bypass vulnerability.,Siemens,"sinvr 3 central control server (ccs), sinvr 3 video server"
551,exposed dangerous method or function,the sftp service (default specific port) of the sinvr 3 ccs does not properly limit its capabilities to the specified purpose.,Siemens,"sinvr 3 central control server (ccs), sinvr 3 video server"
552,improper restriction of operations within the bounds of a memory buffer,the embedded boot loader has a locally exploitable buffer overflow via a crafted kernel image because the filesystem loading is mishandled.,Siemens,"rmc8388, rsg2488, rsg920p, rsg9xx r/c, rsl910, rst2228"
553,resource management errors,"cause the bootloader to infinitely recurse, causing the stack to grow infinitely and eventually crash.",Siemens,"rmc8388, rsg2488, rsg920p, rsg9xx r/c, rsl910, rst2228"
554,cross-site request forgery,allow a cross-site request forgery (csrf) attack if an unsuspecting user is tricked into accessing a malicious link.,Siemens,xhq
555,improper neutralization of script-related html tags in a web page,"allow for an attacker to craft the input in an unexpected form, causing the application to behave in unexpected ways for legitimate users.",Siemens,xhq
556,improper input validation,"the web application requests could be manipulated, causing the application to behave in unexpected ways for legitimate users.",Siemens,xhq
557,exposed dangerous method or function,an attacker with physical access to the uart interface could access additional diagnostic functionality.,Siemens,"s7-1200 cpu family (including siplus variants), s7-200 smart cpu"
558,insufficient verification of data authenticity,"allow remote attackers to perform actions with the permissions of an authenticated user, provided the targeted user has an active session and is induced to trigger the malicious request.",Siemens,"simatic cp 343-1 advanced (incl.siplus net variant), simatic cp 443-1 advanced (incl.siplus net variant), simatic s7-300 cpu family (incl.siplus net variant), simatic s7-400 cpu family (incl.siplus net variant)"
559,sensitive cookie in https session without 'secure' attribute,,Siemens,"simatic cp 343-1 advanced (incl.siplus net variant), simatic cp 443-1 advanced (incl.siplus net variant), simatic s7-300 cpu family (incl.siplus net variant), simatic s7-400 cpu family (incl.siplus net variant)"
560,privilege escalation,,Siemens,"scalance x-200 switch family (incl.siplus net variants), scalance x-200irt switch family (incl.siplus net variants)"
561,improper authentication,,Siemens,"scalance x-200 switch family (incl.siplus net variants), scalance x-200irt switch family (incl.siplus net variants)"
562,improper link resolution before file access ('link following'),"allow an attacker with local access to create, write, and/or delete files in system folder using symbolic links, leading to a privilege escalation.",Thales DIS,"safenet sentinel ldk license manager,   prior to 7.101(only microsoft windows  )"
563,improper restriction of excessive authentication attempts,the authentication mechanism has no brute-force prevention.,Weidmueller,"ie-sw-vl05m-5tx firmware, ie-sw-vl05mt-5tx firmware, ie-sw-vl05m-3tx-2sc firmware, ie-sw-vl05mt-3tx-2sc firmware, ie-sw-vl05m-3tx-2st firmware, ie-sw-vl05mt-3tx-2st firmware, ie-sw-vl08mt-8tx firmware, ie-sw-vl08mt-5tx-3sc firmware, ie-sw-vl08mt-5tx-1sc-2scs firmware, ie-sw-vl08mt-6tx-2st firmware, ie-sw-vl08mt-6tx-2sc firmware, ie-sw-vl08mt-6tx-2scs firmware, ie-sw-pl08m-8tx firmware, ie-sw-pl08mt-8tx firmware, ie-sw-pl08m-6tx-2sc firmware, ie-sw-pl08mt-6tx-2sc firmware, ie-sw-pl08m-6tx-2st firmware, ie-sw-pl08mt-6tx-2st firmware, ie-sw-pl08m-6tx-2scs firmware, ie-sw-pl08mt-6tx-2scs firmware, ie-sw-pl10m-3gt-7tx firmware, ie-sw-pl10mt-3gt-7tx firmware, ie-sw-pl10m-1gt-2gs-7tx firmware, ie-sw-pl10mt-1gt-2gs-7tx firmware, ie-sw-pl16m-16tx firmware, ie-sw-pl16mt-16tx firmware, ie-sw-pl16m-14tx-2sc firmware, ie-sw-pl16mt-14tx-2sc firmware, ie-sw-pl16m-14tx-2st firmware, ie-sw-pl16mt-14tx-2st firmware, ie-sw-pl18m-2gc-16tx firmware, ie-sw-pl18mt-2gc-16tx firmware, ie-sw-pl18m-2gc14tx2sc firmware, ie-sw-pl18mt-2gc14tx2sc firmware, ie-sw-pl18m-2gc14tx2st firmware, ie-sw-pl18mt-2gc14tx2st firmware, ie-sw-pl18m-2gc14tx2scs firmware, ie-sw-pl18mt-2gc14tx2scs firmware, ie-sw-pl09m-5gc-4gt firmware, ie-sw-pl09mt-5gc-4gt firmware"
564,uncontrolled resource consumption,remote authenticated users can crash a device by using a special packet.,Weidmueller,"ie-sw-vl05m-5tx firmware, ie-sw-vl05mt-5tx firmware, ie-sw-vl05m-3tx-2sc firmware, ie-sw-vl05mt-3tx-2sc firmware, ie-sw-vl05m-3tx-2st firmware, ie-sw-vl05mt-3tx-2st firmware, ie-sw-vl08mt-8tx firmware, ie-sw-vl08mt-5tx-3sc firmware, ie-sw-vl08mt-5tx-1sc-2scs firmware, ie-sw-vl08mt-6tx-2st firmware, ie-sw-vl08mt-6tx-2sc firmware, ie-sw-vl08mt-6tx-2scs firmware, ie-sw-pl08m-8tx firmware, ie-sw-pl08mt-8tx firmware, ie-sw-pl08m-6tx-2sc firmware, ie-sw-pl08mt-6tx-2sc firmware, ie-sw-pl08m-6tx-2st firmware, ie-sw-pl08mt-6tx-2st firmware, ie-sw-pl08m-6tx-2scs firmware, ie-sw-pl08mt-6tx-2scs firmware, ie-sw-pl10m-3gt-7tx firmware, ie-sw-pl10mt-3gt-7tx firmware, ie-sw-pl10m-1gt-2gs-7tx firmware, ie-sw-pl10mt-1gt-2gs-7tx firmware, ie-sw-pl16m-16tx firmware, ie-sw-pl16mt-16tx firmware, ie-sw-pl16m-14tx-2sc firmware, ie-sw-pl16mt-14tx-2sc firmware, ie-sw-pl16m-14tx-2st firmware, ie-sw-pl16mt-14tx-2st firmware, ie-sw-pl18m-2gc-16tx firmware, ie-sw-pl18mt-2gc-16tx firmware, ie-sw-pl18m-2gc14tx2sc firmware, ie-sw-pl18mt-2gc14tx2sc firmware, ie-sw-pl18m-2gc14tx2st firmware, ie-sw-pl18mt-2gc14tx2st firmware, ie-sw-pl18m-2gc14tx2scs firmware, ie-sw-pl18mt-2gc14tx2scs firmware, ie-sw-pl09m-5gc-4gt firmware, ie-sw-pl09mt-5gc-4gt firmware"
565,missing encryption of sensitive data,sensitive credentials data is transmitted in cleartext.,Weidmueller,"ie-sw-vl05m-5tx firmware, ie-sw-vl05mt-5tx firmware, ie-sw-vl05m-3tx-2sc firmware, ie-sw-vl05mt-3tx-2sc firmware, ie-sw-vl05m-3tx-2st firmware, ie-sw-vl05mt-3tx-2st firmware, ie-sw-vl08mt-8tx firmware, ie-sw-vl08mt-5tx-3sc firmware, ie-sw-vl08mt-5tx-1sc-2scs firmware, ie-sw-vl08mt-6tx-2st firmware, ie-sw-vl08mt-6tx-2sc firmware, ie-sw-vl08mt-6tx-2scs firmware, ie-sw-pl08m-8tx firmware, ie-sw-pl08mt-8tx firmware, ie-sw-pl08m-6tx-2sc firmware, ie-sw-pl08mt-6tx-2sc firmware, ie-sw-pl08m-6tx-2st firmware, ie-sw-pl08mt-6tx-2st firmware, ie-sw-pl08m-6tx-2scs firmware, ie-sw-pl08mt-6tx-2scs firmware, ie-sw-pl10m-3gt-7tx firmware, ie-sw-pl10mt-3gt-7tx firmware, ie-sw-pl10m-1gt-2gs-7tx firmware, ie-sw-pl10mt-1gt-2gs-7tx firmware, ie-sw-pl16m-16tx firmware, ie-sw-pl16mt-16tx firmware, ie-sw-pl16m-14tx-2sc firmware, ie-sw-pl16mt-14tx-2sc firmware, ie-sw-pl16m-14tx-2st firmware, ie-sw-pl16mt-14tx-2st firmware, ie-sw-pl18m-2gc-16tx firmware, ie-sw-pl18mt-2gc-16tx firmware, ie-sw-pl18m-2gc14tx2sc firmware, ie-sw-pl18mt-2gc14tx2sc firmware, ie-sw-pl18m-2gc14tx2st firmware, ie-sw-pl18mt-2gc14tx2st firmware, ie-sw-pl18m-2gc14tx2scs firmware, ie-sw-pl18mt-2gc14tx2scs firmware, ie-sw-pl09m-5gc-4gt firmware, ie-sw-pl09mt-5gc-4gt firmware"
566,unprotected storage of credentials,passwords are stored in cleartext and can be read by anyone with access to the device.,Weidmueller,"ie-sw-vl05m-5tx firmware, ie-sw-vl05mt-5tx firmware, ie-sw-vl05m-3tx-2sc firmware, ie-sw-vl05mt-3tx-2sc firmware, ie-sw-vl05m-3tx-2st firmware, ie-sw-vl05mt-3tx-2st firmware, ie-sw-vl08mt-8tx firmware, ie-sw-vl08mt-5tx-3sc firmware, ie-sw-vl08mt-5tx-1sc-2scs firmware, ie-sw-vl08mt-6tx-2st firmware, ie-sw-vl08mt-6tx-2sc firmware, ie-sw-vl08mt-6tx-2scs firmware, ie-sw-pl08m-8tx firmware, ie-sw-pl08mt-8tx firmware, ie-sw-pl08m-6tx-2sc firmware, ie-sw-pl08mt-6tx-2sc firmware, ie-sw-pl08m-6tx-2st firmware, ie-sw-pl08mt-6tx-2st firmware, ie-sw-pl08m-6tx-2scs firmware, ie-sw-pl08mt-6tx-2scs firmware, ie-sw-pl10m-3gt-7tx firmware, ie-sw-pl10mt-3gt-7tx firmware, ie-sw-pl10m-1gt-2gs-7tx firmware, ie-sw-pl10mt-1gt-2gs-7tx firmware, ie-sw-pl16m-16tx firmware, ie-sw-pl16mt-16tx firmware, ie-sw-pl16m-14tx-2sc firmware, ie-sw-pl16mt-14tx-2sc firmware, ie-sw-pl16m-14tx-2st firmware, ie-sw-pl16mt-14tx-2st firmware, ie-sw-pl18m-2gc-16tx firmware, ie-sw-pl18mt-2gc-16tx firmware, ie-sw-pl18m-2gc14tx2sc firmware, ie-sw-pl18mt-2gc14tx2sc firmware, ie-sw-pl18m-2gc14tx2st firmware, ie-sw-pl18mt-2gc14tx2st firmware, ie-sw-pl18m-2gc14tx2scs firmware, ie-sw-pl18mt-2gc14tx2scs firmware, ie-sw-pl09m-5gc-4gt firmware, ie-sw-pl09mt-5gc-4gt firmware"
567,predictable from observable state,authentication information used in a cookie is predictable and can lead to admin password compromise when captured on the network.,Weidmueller,"ie-sw-vl05m-5tx firmware, ie-sw-vl05mt-5tx firmware, ie-sw-vl05m-3tx-2sc firmware, ie-sw-vl05mt-3tx-2sc firmware, ie-sw-vl05m-3tx-2st firmware, ie-sw-vl05mt-3tx-2st firmware, ie-sw-vl08mt-8tx firmware, ie-sw-vl08mt-5tx-3sc firmware, ie-sw-vl08mt-5tx-1sc-2scs firmware, ie-sw-vl08mt-6tx-2st firmware, ie-sw-vl08mt-6tx-2sc firmware, ie-sw-vl08mt-6tx-2scs firmware, ie-sw-pl08m-8tx firmware, ie-sw-pl08mt-8tx firmware, ie-sw-pl08m-6tx-2sc firmware, ie-sw-pl08mt-6tx-2sc firmware, ie-sw-pl08m-6tx-2st firmware, ie-sw-pl08mt-6tx-2st firmware, ie-sw-pl08m-6tx-2scs firmware, ie-sw-pl08mt-6tx-2scs firmware, ie-sw-pl10m-3gt-7tx firmware, ie-sw-pl10mt-3gt-7tx firmware, ie-sw-pl10m-1gt-2gs-7tx firmware, ie-sw-pl10mt-1gt-2gs-7tx firmware, ie-sw-pl16m-16tx firmware, ie-sw-pl16mt-16tx firmware, ie-sw-pl16m-14tx-2sc firmware, ie-sw-pl16mt-14tx-2sc firmware, ie-sw-pl16m-14tx-2st firmware, ie-sw-pl16mt-14tx-2st firmware, ie-sw-pl18m-2gc-16tx firmware, ie-sw-pl18mt-2gc-16tx firmware, ie-sw-pl18m-2gc14tx2sc firmware, ie-sw-pl18mt-2gc14tx2sc firmware, ie-sw-pl18m-2gc14tx2st firmware, ie-sw-pl18mt-2gc14tx2st firmware, ie-sw-pl18m-2gc14tx2scs firmware, ie-sw-pl18mt-2gc14tx2scs firmware, ie-sw-pl09m-5gc-4gt firmware, ie-sw-pl09mt-5gc-4gt firmware"
568,unquoted search path or element,allow execution of code with elevated privileges of the application.,Reliable Controls,rc-licensemanager
569,cleartext transmission of sensitive information,allow an attacker to compromise sensitive data such as credentials.,Moxa,awk-3121
570,improper access control,allow access to sensitive information.,Moxa,awk-3121
571,sensitive cookie without 'httponly' flag,"allows access to session cookies, which may allow an attacker to login into the device.",Moxa,awk-3121
572,improper restriction of operations within the bounds of a memory buffer,allow the attacker to execute commands on the device.,Moxa,awk-3121
573,cleartext transmission of sensitive information,allow an attacker to capture sensitive data.,Moxa,awk-3121
574,improper restriction of operations within the bounds of a memory buffer,allow the attacker to execute commands on the device.,Moxa,awk-3121
575,cross-site request forgery (csrf),allow an attacker to trick a user into executing commands or actions by clicking a malicious link.,Moxa,awk-3121
576,improper neutralization of special elements used in a command ('command injection'),allow the attacker to execute unauthorized commands on the device.,Moxa,awk-3121
577,cleartext transmission of sensitive information,allow an attacker to view sensitive information or modify information being transmitted through a man-in-the-middle attack.,Moxa,awk-3121
578,improper neutralization of special elements used in a command ('command injection'),allow the attacker to execute unauthorized commands on the device.,Moxa,awk-3121
579,improper neutralization of input during web page generation ('cross-site scripting'),allow the injection of a malicious payload on the server.,Moxa,awk-3121
580,improper restriction of operations within the bounds of a memory buffer,allow the attacker to execute commands.,Moxa,awk-3121
581,improper neutralization of special elements used in a command ('command injection'),allow the attacker to execute commands on the device.,Moxa,awk-3121
582,improper restriction of operations within the bounds of a memory buffer,allow the attacker to execute commands on the device.,Moxa,awk-3121
583,improper limitation of a pathname to a restricted directory ('path traversal'),an attacker could use specially crafted paths in a specific request to read or delete files from the device outside the intended directory.,ABB,"relion 670 series, relion 670 series, relion 670 series, relion 670 series"
584,improper input validation,cause a denial of service.,ABB,"relion 650 series, relion 670 series, relion 670 series, relion 670 series"
585,external control of assumed-immutable web parameter,cause the server to reply with status code 404 to any further requests.,Siemens,"pxc00-e.d, pxc50-e.d, pxc100-e.d, pxc200-e.d with desigo px web modules, pxa40-w0, pxa40-w1, pxa40-w2, pxc00-u, pxc64-u, pxc128-u with desigo px web modules, pxa30-w0, pxa30-w1, pxa30-w2, pxc22.1-e.d, pxc36-e.d, pxc36.1-e.d with activated web server"
586,authentication bypass using an alternate path or channel,allow an attacker to remotely bypass authentication and extract credentials from the affected device.,ABB,"power generation information manager (pgim), plant connect"
587,use of hard-coded credentials,"if discovered, they can be used to read files on  the device.",Medtronic,"valleylab exchange client, valleylab ft10 energy platform (vlft10gen), valleylab fx8 energy platform (vlfx8gen)"
